Location,London borough,Post town,Postcode district,Dial code,OS grid ref,In inner london,,
Abbey Wood,"Bexley, Greenwich",LONDON,SE2,20,TQ465785,Yes,,
Acton,"Ealing, Hammersmith and Fulham",LONDON,"W3, W4",20,TQ205805,Yes,,
Addington,Croydon,CROYDON,CR0,20,TQ375645,No,,
Addiscombe,Croydon,CROYDON,CR0,20,TQ345665,No,,
Albany Park,Bexley,"BEXLEY, SIDCUP","DA5, DA14",20,TQ478728,No,,
Aldborough Hatch,Redbridge,ILFORD,IG2,20,TQ455895,No,,
Aldgate,City of London,LONDON,EC3,20,TQ334813,Yes,,
Aldwych,Westminster,LONDON,WC2,20,TQ307810,Yes,,
Alperton,Brent,WEMBLEY,HA0,20,TQ185835,No,,
Anerley,Bromley,LONDON,SE20,20,TQ345695,No,,
Angel,Islington,LONDON,"EC1, N1",20,TQ345665,Yes,,
Aperfield,Bromley,WESTERHAM,TN16,1959,TQ425585,No,,
Archway,Islington,LONDON,N19,20,TQ285875,Yes,,
Ardleigh Green,Havering,HORNCHURCH,RM11,1708,TQ535895,No,,
Arkley,Barnet,"BARNET, LONDON","EN5, NW7",20,TQ225955,No,,
Arnos Grove,Enfield,LONDON,"N11, N14",20,TQ295925,No,,
Balham,Wandsworth,LONDON,SW12,20,TQ285735,Yes,,
Bankside,Southwark,LONDON,SE1,20,TQ325795,Yes,,
Barbican,City of London,LONDON,"EC1, EC2",20,TQ322818,Yes,,
Barking,Barking and Dagenham,BARKING,IG11,20,TQ440840,No,,
Barkingside,Redbridge,ILFORD,IG6,20,TQ445895,No,,
Barnehurst,Bexley,BEXLEYHEATH,DA7,1322,TQ505755,No,,
Barnes,Richmond upon Thames,LONDON,SW13,20,TQ225765,No,,
Barnes Cray,Bexley,DARTFORD,DA1,1322,TQ525755,No,,
Barnet Gate,Barnet,"LONDON, BARNET","NW7, EN5",20,TQ218952,No,,
"Barnet (also Chipping Barnet, High Barnet)",Barnet,BARNET,EN5,20,TQ245955,No,,
Barnsbury,Islington,LONDON,N1,20,TQ305845,Yes,,
Battersea,Wandsworth,LONDON,SW11,20,TQ285765,Yes,,
Bayswater,Westminster,LONDON,W2,20,TQ255805,Yes,,
Beckenham,Bromley,"BECKENHAM, LONDON","BR3, SE20",20,TQ375695,No,,
Beckton,Newham,"LONDON, BARKING","E6, E16, IG11",20,TQ435815,No,,
Becontree,Barking and Dagenham,DAGENHAM,RM9,20,TQ485855,No,,
Becontree Heath,Barking and Dagenham,DAGENHAM,RM8,20,TQ493871,No,,
Beddington,Sutton,"WALLINGTON, CROYDON","SM6, CR0",20,TQ305655,No,,
Bedford Park,Ealing,LONDON,W4,20,TQ208793,No,,
Belgravia,Westminster,LONDON,SW1,20,TQ283792,Yes,,
Bellingham,Lewisham,LONDON,SE6,20,TQ375715,Yes,,
Belmont,Harrow,"HARROW, STANMORE","HA3, HA7",20,TQ165905,No,,
Belmont,Sutton,SUTTON,SM2,20,TQ253620,No,,
Belsize Park,Camden,LONDON,NW3,20,TQ273845,Yes,,
Belvedere,Bexley,BELVEDERE,DA17,20,TQ495785,No,,
Bermondsey,Southwark,LONDON,SE1,20,TQ335795,Yes,,
Berrylands,Kingston upon Thames,SURBITON,KT5,20,TQ195675,No,,
Bethnal Green,Tower Hamlets,LONDON,E2,20,TQ345825,Yes,,
"Bexley (also Old Bexley, Bexley Village)",Bexley,BEXLEY,DA5,20,TQ465755,No,,
Bexleyheath (also Bexley New Town),Bexley,"BEXLEYHEATH, LONDON","DA6, DA7, SE2",20,TQ485755,No,,
Bickley,Bromley,BROMLEY,BR3,20,TQ423688,No,,
Biggin Hill,Bromley,WESTERHAM,TN16,1959,TQ418590,No,,
Blackfen,Bexley,SIDCUP,DA15,20,TQ455745,No,,
Blackfriars,City of London,LONDON,EC4,20,TQ318808,Yes,,
Blackheath,Lewisham,LONDON,SE3,20,TQ395765,Yes,,
Blackheath Royal Standard,Greenwich,LONDON,"SE3, SE12",20,TQ399753,Yes,,
Blackwall,Tower Hamlets,LONDON,E14,20,TQ385805,Yes,,
Blendon,Bexley,BEXLEY,DA 5,20,TQ478742,No,,
Bloomsbury,Camden,LONDON,WC1,20,TQ299820,Yes,,
Botany Bay,Enfield,ENFIELD,EN2,20,TQ297992,No,,
Bounds Green,Haringey,LONDON,"N11, N22",20,TQ298914,No,,
Bow,Tower Hamlets,LONDON,E3,20,TQ365825,Yes,,
Bowes Park,Haringey,LONDON,N22,20,TQ305915,No,,
Brentford,Hounslow,BRENTFORD,TW8,20,TQ177778,No,,
Brent Cross,Barnet,LONDON,"NW2, NW4",20,TQ230874,No,,
Brent Park,Brent,LONDON,NW10,20,TQ209852,No,,
